Date,Open,High,Low,Close,Adj Close,Volume
5/27/1998,9.98004,9.98004,8.483034,8.483034,8.114902,2335562
5/28/1998,8.545409,8.545409,8.046407,8.046407,7.697221,126653
5/29/1998,8.233533,8.233533,7.859281,7.984032,7.637554,241783
6/1/1998,8.108782,8.108782,7.60978,7.60978,7.279543,64328
6/2/1998,7.672156,8.046407,7.48503,7.8125,7.473466,184268
6/3/1998,8.108782,8.607784,8.108782,8.358283,7.995563,95691
6/4/1998,8.483034,8.545409,8.358283,8.483034,8.114902,50100
6/5/1998,8.483034,8.483034,8.358283,8.483034,8.114902,20842
6/8/1998,8.483034,8.483034,8.295908,8.483034,8.114902,72244
6/9/1998,8.483034,8.483034,8.358283,8.420659,8.055234,63928
6/10/1998,8.483034,8.545409,8.358283,8.545409,8.17457,20942
6/11/1998,8.358283,8.483034,8.358283,8.358283,7.995563,3106
6/12/1998,8.420659,8.420659,7.734531,7.796906,7.458549,65631
6/15/1998,7.734531,7.984032,7.734531,7.859281,7.518217,16232
6/16/1998,7.734531,7.921657,7.734531,7.859281,7.518217,18236
6/17/1998,7.984032,8.171158,7.984032,8.108782,7.75689,309618
6/18/1998,8.233533,8.233533,8.108782,8.108782,7.75689,6413
6/19/1998,8.233533,8.233533,7.984032,8.171158,7.816559,10822
6/22/1998,8.358283,8.732535,8.358283,8.732535,8.353575,38978
6/23/1998,8.732535,9.169162,8.483034,8.545409,8.17457,383165
6/24/1998,8.607784,8.607784,8.233533,8.420659,8.055234,176152
6/25/1998,8.420659,8.545409,8.420659,8.483034,8.114902,11022
6/26/1998,8.483034,8.982036,8.420659,8.732535,8.353575,132164
6/29/1998,8.982036,9.169162,8.982036,8.982036,8.592247,55411
6/30/1998,9.044411,9.231537,8.982036,9.106786,8.711582,16533
7/1/1998,9.106786,9.231537,8.732535,8.732535,8.353575,47996
7/2/1998,9.106786,9.231537,8.732535,8.732535,8.353575,17435
7/6/1998,9.106786,9.231537,8.732535,8.732535,8.353575,39178
7/7/1998,9.044411,9.044411,8.732535,8.857285,8.472909,7014
7/8/1998,8.919661,8.982036,8.857285,8.919661,8.532578,39880
7/9/1998,8.919661,8.982036,8.857285,8.919661,8.532578,21242
7/10/1998,8.982036,8.982036,8.857285,8.857285,8.472909,10521
7/13/1998,8.919661,8.919661,8.79491,8.857285,8.472909,3607
7/14/1998,8.857285,8.857285,8.732535,8.732535,8.353575,6713
7/15/1998,8.857285,8.982036,8.732535,8.857285,8.472909,25852
7/16/1998,8.732535,9.106786,8.732535,9.106786,8.711582,40581
7/17/1998,8.732535,9.231537,8.732535,9.106786,8.711582,16132
7/20/1998,9.106786,9.106786,9.044411,9.106786,8.711582,9018
7/21/1998,9.231537,9.792914,9.106786,9.605788,9.188931,48096
7/22/1998,9.730539,9.855289,8.982036,9.106786,8.711582,116032
7/23/1998,9.169162,9.169162,8.982036,9.106786,8.711582,24148
7/24/1998,9.481038,9.481038,9.169162,9.231537,8.83092,24549
7/27/1998,9.356287,9.356287,9.231537,9.231537,8.83092,5010
7/28/1998,9.231537,9.356287,8.732535,9.106786,8.711582,20641
7/29/1998,9.044411,9.106786,8.732535,8.732535,8.353575,6112
7/30/1998,8.732535,9.106786,8.732535,9.106786,8.711582,4208
7/31/1998,9.106786,9.106786,8.358283,8.545409,8.17457,31363
8/3/1998,8.545409,8.857285,7.48503,7.48503,7.160206,45591
8/4/1998,7.734531,7.734531,7.048403,7.48503,7.160206,20641
8/5/1998,7.60978,7.734531,7.360279,7.48503,7.160206,124448
8/6/1998,7.547405,7.547405,7.422655,7.48503,7.160206,4609
8/7/1998,7.48503,7.984032,7.422655,7.422655,7.100539,54208
8/10/1998,7.48503,7.48503,7.48503,7.48503,7.160206,401
8/11/1998,7.422655,7.48503,7.422655,7.48503,7.160206,6212
8/12/1998,7.48503,7.48503,6.861277,6.986028,6.682859,37976
8/13/1998,6.923653,6.923653,6.362275,6.362275,6.086175,32665
8/14/1998,6.362275,6.487026,5.988024,6.050399,5.787833,202003
8/17/1998,6.487026,6.487026,6.237525,6.362275,6.086175,13828
8/18/1998,6.362275,6.362275,6.112774,6.362275,6.086175,4709
8/19/1998,6.362275,6.736527,5.239521,5.800898,5.549159,90681
8/20/1998,5.738523,5.863273,5.738523,5.863273,5.608829,5411
8/21/1998,5.863273,6.050399,5.800898,6.050399,5.787833,17635
8/24/1998,6.050399,6.17515,6.050399,6.17515,5.907171,12425
8/25/1998,6.17515,6.17515,6.112774,6.17515,5.907171,9820
8/26/1998,6.112774,6.17515,6.112774,6.112774,5.847502,5110
8/27/1998,6.112774,6.112774,5.863273,6.050399,5.787833,42084
8/28/1998,5.988024,5.988024,5.769711,5.863273,5.608829,48296
8/31/1998,5.988024,6.112774,5.239521,5.301896,5.071813,28256
9/1/1998,5.489022,5.551397,5.364271,5.426647,5.191148,17435
9/2/1998,5.489022,5.489022,5.426647,5.426647,5.191148,3707
9/3/1998,5.395459,5.489022,5.395459,5.426647,5.191148,3106
9/4/1998,5.489022,5.489022,5.364271,5.426647,5.191148,4409
9/8/1998,5.489022,5.489022,5.364271,5.426647,5.191148,5611
9/9/1998,5.364271,5.489022,5.364271,5.364271,5.131481,4810
9/10/1998,5.239521,5.239521,4.491018,4.740519,4.534798,29659
9/11/1998,4.740519,4.740519,4.615768,4.615768,4.41546,15431
9/14/1998,4.678144,4.678144,4.116766,4.116766,3.938112,16733
9/15/1998,4.116766,4.116766,4.054391,4.054391,3.878445,35471
9/16/1998,4.116766,4.116766,4.054391,4.054391,3.878445,13928
9/17/1998,4.054391,4.054391,4.054391,4.054391,3.878445,200
9/18/1998,4.085579,4.085579,3.992016,3.992016,3.818777,17735
9/21/1998,3.742515,3.867265,3.742515,3.867265,3.699439,5110
9/22/1998,3.867265,3.867265,3.742515,3.742515,3.580103,49900
9/23/1998,3.867265,3.867265,3.742515,3.742515,3.580103,17034
9/24/1998,3.867265,3.867265,3.617764,3.617764,3.460766,39980
9/25/1998,3.617764,3.617764,3.493014,3.586577,3.430933,38377
9/28/1998,3.617764,3.742515,3.493014,3.555389,3.401098,17535
9/29/1998,3.617764,3.617764,3.493014,3.555389,3.401098,10822
9/30/1998,3.555389,3.555389,3.524202,3.524202,3.371264,3307
10/1/1998,3.555389,3.742515,3.430639,3.493014,3.34143,55411
10/2/1998,3.430639,3.493014,3.430639,3.461826,3.311595,7615
10/5/1998,3.493014,3.493014,3.430639,3.430639,3.281761,3507
10/6/1998,3.430639,3.430639,3.430639,3.430639,3.281761,0
10/7/1998,3.493014,3.493014,3.368263,3.430639,3.281761,6814
10/8/1998,3.493014,3.555389,2.526198,2.744511,2.625409,56212
10/9/1998,3.368263,3.992016,3.243513,3.80489,3.639771,217634
10/12/1998,4.740519,4.740519,3.555389,3.836078,3.669606,69739
10/13/1998,3.742515,3.867265,3.742515,3.80489,3.639771,53807
10/14/1998,3.742515,3.929641,3.617764,3.867265,3.699439,90681
10/15/1998,3.929641,4.615768,3.867265,4.615768,4.41546,84168
10/16/1998,4.615768,5.800898,4.615768,4.99002,4.77347,48296
10/19/1998,6.487026,6.487026,5.489022,5.863273,5.608829,291281
10/20/1998,6.362275,6.798902,5.738523,5.769711,5.519327,171843
10/21/1998,5.988024,6.112774,5.426647,5.738523,5.489491,27956
10/22/1998,5.738523,5.988024,5.551397,5.863273,5.608829,27555
10/23/1998,5.988024,5.988024,5.613772,5.613772,5.370155,49499
10/26/1998,5.863273,5.863273,5.613772,5.676148,5.429824,25150
10/27/1998,5.613772,5.863273,5.613772,5.613772,5.370155,64028
10/28/1998,5.738523,5.738523,5.426647,5.426647,5.191148,18537
10/29/1998,5.489022,5.613772,5.426647,5.551397,5.310485,11623
10/30/1998,5.551397,5.738523,5.489022,5.676148,5.429824,79659
11/2/1998,5.863273,5.863273,5.613772,5.613772,5.370155,14329
